,posted,neighborhood,post title,number bedrooms,sqft,URL,price,Latitude,Longitude
0,2021-10-13 15:38, ( central LA 213/323 ),"Stainless-Steel Appliances, Floor to Ceiling Glass Windows, Dog Park",2,1007.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-stainless-steel-appliances/7393737940.html,3427,34.083828,-118.360519
1,2021-10-13 15:38, (Los Angeles central LA 213/323 ),"1 Bedroom x 1 Bathroom / Juliet Balcony /$1,000 Look &Lease Special",1,778.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-1-bathroom-juliet/7393746629.html,3620,34.045212,-118.256907
2,2021-10-13 15:37," (616 St. Paul Ave., Los Angeles, CA central LA 213/323 )","Large Picture Windows, Automatic Dishwasher, Fax and Copy Room",2,1334.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-large-picture-windows/7393741433.html,3527,34.053617,-118.261687
3,2021-10-13 15:36, (Eagle Rock central LA 213/323 ),"Upgraded 1 Bedroom 1 BA in Eagle Rock, Stainless Steel Appliances",1,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-upgraded-bedroom-ba-in/7391821668.html,2200,34.134967,-118.210946
4,2021-10-13 15:36, (Los Angeles central LA 213/323 ),"UPGRADED 2 Bedroom in Windsor Hills Adjacent W/ Plank Floors, Call Us",2,1000.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-upgraded-bedroom-in-windsor/7391943251.html,2250,34.015212,-118.347009
5,2021-10-13 15:35," (550 N. Figueroa st., Los Angeles, CA central LA 213/323 )","Crown Molding, ATM Machines, Breakfast Bar",1,698.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-crown-molding-atm-machines/7388199911.html,2116,34.062221,-118.246552
6,2021-10-13 15:33, (Hancock Park ADJ central LA 213/323 ),2 Bedroom 2 Bath in Larchmont Village ADJ + Virtual Tour + Central A/C,2,1174.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-bath-in-larchmont/7391821225.html,2600,34.085529,-118.331210
7,2021-10-13 15:33, (Hollywood central LA 213/323 ),"2 Bedroom in Hollywood W/ 1 Month Free, Rooftop Deck, Luxurious Lobby",2,987.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-in-hollywood-1/7391945884.html,3195,34.100368,-118.317695
8,2021-10-13 15:32, (West Hollywood central LA 213/323 ),1+1.5 in West Hollywood | Dedicated Wine And Beverage Refrigerator,1,1000.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-115-in-west-hollywood/7382347814.html,4495,34.096888,-118.366302
9,2021-10-13 15:32," (1026 S Broadway, Los Angeles, CA central LA 213/323 )","Private Balconies and Patios with Furniture, Dishwasher, Refrigerator",1,1218.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-private-balconies-and/7393715111.html,3708,34.040567,-118.257731
